Date,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
22/09/2023,63,55.5,50,52,49,46,94,80.3,55,14,8.5,3,29.7,29.5,29.3,0
23/09/2023,63,55.4,48,48,45,41,93,70.3,45,14,9.2,5,30,29.9,29.7,0
24/09/2023,68,62.4,52,57,53.7,46,88,73.6,64,20,12.5,6,30,29.9,29.9,0
25/09/2023,70,64,57,59,55.1,50,94,75,49,15,9.4,3,30.1,30,29.9,0
26/09/2023,72,63.3,54,63,56.1,50,100,79.5,46,17,9.9,3,30,29.9,29.9,0
27/09/2023,70,63.6,55,61,56.8,54,100,79.6,64,21,10.9,2,30,29.8,29.7,0
28/09/2023,66,62.5,59,61,53.8,50,94,73.4,60,18,11.9,7,29.9,29.8,29.7,0
29/09/2023,66,61.9,55,63,53.1,46,100,74.3,49,16,10,5,30.2,30,29.7,0
30/09/2023,66,59.9,54,55,51.4,48,94,74.8,56,15,8.1,1,30.2,30.2,30.1,0
01/10/2023,73,64.3,57,59,54.5,48,94,72.7,44,18,13.1,8,29.5,29.5,29.3,0
02/10/2023,68,62.5,59,63,58.5,54,100,87.7,64,21,11.6,3,29.3,29.1,29,0
03/10/2023,70,64.2,59,57,52.9,48,94,68.4,49,10,6.7,3,29.8,29.6,29.3,0
04/10/2023,66,61.9,57,54,52.1,48,88,70,56,13,7.1,3,30,29.9,29.9,0
05/10/2023,64,58.1,55,59,53.8,50,94,85.2,72,18,8.7,3,29.9,29.7,29.5,0
06/10/2023,66,59.6,52,52,49.2,48,88,70,52,13,8.5,3,30,29.9,29.8,0
07/10/2023,72,61.3,52,52,48.9,45,94,66.9,41,16,10.2,1,30.1,30,29.9,0
08/10/2023,64,59.3,54,61,55.7,48,94,88.5,72,15,9.1,3,29.9,29.9,29.8,0
09/10/2023,75,65.2,54,61,54.6,48,100,71,47,12,5.2,1,30,30,29.9,0
10/10/2023,79,68.7,57,61,58,55,94,70.8,50,15,8,2,30,30,30,0
11/10/2023,75,69,63,63,59.7,54,88,72.7,56,15,11.1,5,30,29.9,29.9,0
12/10/2023,70,64.8,59,59,56.2,54,94,75.3,60,21,13.1,5,29.9,29.9,29.8,0
13/10/2023,72,65.1,61,57,55.1,54,88,71,53,18,12.2,8,29.9,29.8,29.8,0
14/10/2023,70,64,59,63,59,55,100,84.1,68,16,10.6,5,29.8,29.8,29.7,0
15/10/2023,75,64.8,55,59,55.2,52,94,72.7,44,14,7.8,3,30,29.9,29.8,0
16/10/2023,77,66.9,57,57,53.7,46,88,65.5,41,12,5.2,1,30.1,30,30,0
17/10/2023,75,66.9,59,61,57.3,54,94,72.9,50,16,10.8,3,30.1,30,29.9,0
18/10/2023,75,68.2,64,68,62.9,59,100,83.2,65,15,10.2,6,29.9,29.8,29.7,0
19/10/2023,75,68,61,68,58.6,55,94,72.8,53,20,12.5,6,30,29.9,29.7,0
20/10/2023,77,67,59,59,57.4,55,94,73.8,47,15,9.1,3,30.1,30.1,30,0
21/10/2023,75,66.1,59,59,56.5,55,94,73.7,50,14,9.1,3,30.2,30.1,30.1,0
22/10/2023,77,67.8,59,59,56.1,52,94,68.8,41,14,9.2,5,30.1,30,30,0
23/10/2023,81,69.3,59,61,55.8,50,88,65,39,10,5.2,1,30.1,30,29.9,0
24/10/2023,75,67.8,63,63,59.1,54,94,74.3,47,10,5.4,1,29.9,29.8,29.7,0
25/10/2023,70,62.3,57,57,48.5,45,82,61.9,43,16,8,3,29.8,29.7,29.7,0
26/10/2023,66,59.5,54,54,51.7,48,94,76.3,56,13,8,5,29.7,29.7,29.7,0
27/10/2023,68,60,52,52,50.3,46,94,72,49,17,9.2,5,29.9,29.8,29.7,0
28/10/2023,70,61.4,54,54,50.3,46,88,68.4,46,10,5.6,2,29.9,29.9,29.8,0
29/10/2023,70,61.8,57,57,51.9,45,100,72,43,16,7.9,2,29.9,29.8,29.7,0
30/10/2023,68,60.1,52,52,48.2,43,94,67.3,40,15,8.5,3,29.7,29.7,29.7,0
31/10/2023,63,57.8,54,55,52.2,48,94,82.5,68,9,5.6,0,29.7,29.7,29.7,0
01/11/2023,73,64.3,57,59,54.5,48,94,72.7,44,18,13.1,8,29.5,29.5,29.3,0
02/11/2023,68,62.5,59,63,58.5,54,100,87.7,64,21,11.6,3,29.3,29.1,29,0
03/11/2023,70,64.2,59,57,52.9,48,94,68.4,49,10,6.7,3,29.8,29.6,29.3,0
04/11/2023,66,61.9,57,54,52.1,48,88,70,56,13,7.1,3,30,29.9,29.9,0
05/11/2023,64,58.1,55,59,53.8,50,94,85.2,72,18,8.7,3,29.9,29.7,29.5,0
06/11/2023,66,59.6,52,52,49.2,48,88,70,52,13,8.5,3,30,29.9,29.8,0
07/11/2023,72,61.3,52,52,48.9,45,94,66.9,41,16,10.2,1,30.1,30,29.9,0
08/11/2023,64,59.3,54,61,55.7,48,94,88.5,72,15,9.1,3,29.9,29.9,29.8,0
09/11/2023,75,65.2,54,61,54.6,48,100,71,47,12,5.2,1,30,30,29.9,0
10/11/2023,79,68.7,57,61,58,55,94,70.8,50,15,8,2,30,30,30,0
11/11/2023,75,69,63,63,59.7,54,88,72.7,56,15,11.1,5,30,29.9,29.9,0
12/11/2023,70,64.8,59,59,56.2,54,94,75.3,60,21,13.1,5,29.9,29.9,29.8,0
13/11/2023,72,65.1,61,57,55.1,54,88,71,53,18,12.2,8,29.9,29.8,29.8,0
14/11/2023,70,64,59,63,59,55,100,84.1,68,16,10.6,5,29.8,29.8,29.7,0
15/11/2023,75,64.8,55,59,55.2,52,94,72.7,44,14,7.8,3,30,29.9,29.8,0
16/11/2023,77,66.9,57,57,53.7,46,88,65.5,41,12,5.2,1,30.1,30,30,0
17/11/2023,75,66.9,59,61,57.3,54,94,72.9,50,16,10.8,3,30.1,30,29.9,0
18/11/2023,75,68.2,64,68,62.9,59,100,83.2,65,15,10.2,6,29.9,29.8,29.7,0
19/11/2023,75,68,61,68,58.6,55,94,72.8,53,20,12.5,6,30,29.9,29.7,0
20/11/2023,77,67,59,59,57.4,55,94,73.8,47,15,9.1,3,30.1,30.1,30,0
21/11/2023,75,66.1,59,59,56.5,55,94,73.7,50,14,9.1,3,30.2,30.1,30.1,0
22/11/2023,77,67.8,59,59,56.1,52,94,68.8,41,14,9.2,5,30.1,30,30,0
23/11/2023,81,69.3,59,61,55.8,50,88,65,39,10,5.2,1,30.1,30,29.9,0
24/11/2023,75,67.8,63,63,59.1,54,94,74.3,47,10,5.4,1,29.9,29.8,29.7,0
25/11/2023,70,62.3,57,57,48.5,45,82,61.9,43,16,8,3,29.8,29.7,29.7,0
26/11/2023,66,59.5,54,54,51.7,48,94,76.3,56,13,8,5,29.7,29.7,29.7,0
27/11/2023,68,60,52,52,50.3,46,94,72,49,17,9.2,5,29.9,29.8,29.7,0
28/11/2023,70,61.4,54,54,50.3,46,88,68.4,46,10,5.6,2,29.9,29.9,29.8,0
29/11/2023,70,61.8,57,57,51.9,45,100,72,43,16,7.9,2,29.9,29.8,29.7,0
30/11/2023,68,60.1,52,52,48.2,43,94,67.3,40,15,8.5,3,29.7,29.7,29.7,0
01/12/2023,63,57.8,54,55,52.2,48,94,82.5,68,9,5.6,0,29.7,29.7,29.7,0
01/12/2023,72,64.8,59,63,59.8,55,100,84.8,64,7,4.1,1,29.9,29.8,29.7,0
02/12/2023,75,67.1,61,61,59.5,57,94,78,53,12,6.9,2,30.2,30.1,29.9,0
03/12/2023,79,67.6,57,61,57.9,55,94,73.8,47,10,4.1,0,30.3,30.2,30.2,0
04/12/2023,84,71.1,61,61,56.9,43,94,64.8,28,14,6.9,3,30.2,30.1,30,0
05/12/2023,86,71.9,61,61,57.3,54,94,63.6,37,14,7.5,2,30,29.9,29.9,0
06/12/2023,88,74.8,63,64,60.6,57,83,62.9,40,10,3.8,1,30,30,30,0
07/12/2023,88,77,64,64,62,57,94,63.2,35,9,4.6,2,30,29.9,29.9,0
08/12/2023,86,80,72,63,61.1,59,69,52.7,40,9,5.6,2,29.9,29.9,29.9,0
09/12/2023,90,78.1,64,64,61,59,88,58.5,36,7,3.4,0,29.9,29.9,29.9,0
10/12/2023,84,73.8,66,66,63.2,61,94,70.3,51,16,6.1,0,29.9,29.9,29.8,0
11/12/2023,77,70.4,66,63,61.2,57,88,73.1,50,14,9.9,6,29.9,29.8,29.8,0
12/12/2023,73,65.7,57,63,59.8,54,94,81.3,57,14,7,3,29.9,29.9,29.8,0
13/12/2023,70,61.4,57,54,52.1,50,88,71.7,49,8,5.7,1,30.1,30.1,30,0
14/12/2023,73,64.1,55,55,53.1,48,94,69.8,41,12,6.4,3,30.1,30,30,0
15/12/2023,77,64.9,54,55,54.4,52,100,71.4,44,10,4.1,1,30,29.9,29.8,0
16/12/2023,81,67.8,57,59,55.2,50,94,67.5,39,13,6.2,1,29.9,29.8,29.8,0
17/12/2023,70,65,61,64,60.5,55,100,85.2,68,17,9.2,3,29.9,29.7,29.5,0
18/12/2023,68,61.9,55,61,54.7,45,94,78.8,52,31,13.4,5,29.7,29.5,29.4,0
19/12/2023,66,62,55,59,55.7,50,88,79.5,73,25,17.6,10,29.7,29.6,29.6,0
20/12/2023,68,63.1,57,61,57.4,54,100,82.8,64,24,17.2,7,29.6,29.4,29.2,0
21/12/2023,64,56.9,50,55,52.1,48,100,84.6,56,12,5.9,1,29.3,29.3,29.3,0
22/12/2023,63,55.5,50,52,49,46,94,80.3,55,14,8.5,3,29.7,29.5,29.3,0
23/12/2023,63,55.4,48,48,45,41,93,70.3,45,14,9.2,5,30,29.9,29.7,0
24/12/2023,68,62.4,52,57,53.7,46,88,73.6,64,20,12.5,6,30,29.9,29.9,0
25/12/2023,70,64,57,59,55.1,50,94,75,49,15,9.4,3,30.1,30,29.9,0
26/12/2023,72,63.3,54,63,56.1,50,100,79.5,46,17,9.9,3,30,29.9,29.9,0
27/12/2023,70,63.6,55,61,56.8,54,100,79.6,64,21,10.9,2,30,29.8,29.7,0
28/12/2023,66,62.5,59,61,53.8,50,94,73.4,60,18,11.9,7,29.9,29.8,29.7,0
29/12/2023,66,61.9,55,63,53.1,46,100,74.3,49,16,10,5,30.2,30,29.7,0
30/12/2023,66,59.9,54,55,51.4,48,94,74.8,56,15,8.1,1,30.2,30.2,30.1,0
31/12/2023,50,46.4,43,46,41.6,39,93,82.7,71,24,16.5,8,29.3,29.1,29,0
